state,electoral.district,office.name,official.name,address,phone,website,email,party
NC,Charlotte,Mayor,Meet Mayor Jennifer Roberts,"600 East Fourth Street, 15th Floor Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/Mayor/Pages/MeetTheMayor.aspx,mayor@charlottenc.gov,
IL,Chicago City Council District 1,Alderman Ward 1,Joe Proco Moreno,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/01.html,ward01@cityofchicago.org,
IL,Chicago City Council District 2,Alderman Ward 2,Brian Hopkins,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/02.html,ward02@cityofchicago.org,
IL,Chicago City Council District 3,Alderman Ward 3,Pat Dowell,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/03.html,ward03@cityofchicago.org,
IL,Chicago City Council District 4,Alderman Ward 4,William Burns,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/04.html,ward04@cityofchicago.org,
IL,Chicago City Council District 5,Alderman Ward 5,Leslie A. Hairston,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/05.html,ward05@cityofchicago.org,
IL,Chicago City Council District 6,Alderman Ward 6,Roderick Sawyer,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/06.html,ward06@cityofchicago.org,
IL,Chicago City Council District 7,Alderman Ward 7,Gregory I. Mitchell,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/07.html,ward07@cityofchicago.org,
IL,Chicago City Council District 8,Alderman Ward 8,Michelle A. Harris,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/08.html,ward08@cityofchicago.org,
IL,Chicago City Council District 9,Alderman Ward 9,Anthony Beale,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/09.html,Ward09@cityofchicago.org,
IL,Chicago City Council District 10,Alderman Ward 10,Susan Sadlowski Garza,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/10.html,ward10@cityofchicago.org,
IL,Chicago City Council District 11,Alderman Ward 11,Patrick D. Thompson,"121 N. LaSalle St. Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/11.html,ward11@cityofchicago.org,
IL,Chicago City Council District 12,Alderman Ward 12,George A. Cardenas,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/12.html,ward12@cityofchicago.org,
IL,Chicago City Council District 13,Alderman Ward 13,Marty Quinn,"121 N. LaSalle St. Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/13.html,ward13@cityofchicago.org,
IL,Chicago City Council District 14,Alderman Ward 14,Edward M. Burke,"121 N. La Salle Room 302 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/14.html,ward14@cityofchicago.org,
IL,Chicago City Council District 15,Alderman Ward 15,Raymond A. Lopez,2736 W 47th St Chicago IL 60632,312.744.5000,http://www.cityofchicago.org/city/en/about/wards/15.html,ward15@cityofchicago.org,
IL,Chicago City Council District 16,Alderman Ward 16,Toni L. Foulkes,"121 N. LaSalle Street Chicago, Illinois 60602",773.863.0220,http://www.cityofchicago.org/city/en/about/wards/16.html,ward16@cityofchicago.org,
IL,Chicago City Council District 17,Alderman Ward 17,David Moore,"121 N. LaSalle St. Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/17.html,ward17@cityofchicago.org,
IL,Chicago City Council District 18,Alderman Ward 18,Derrick G. Curtis,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/18.html,ward18@cityofchicago.org,
IL,Chicago City Council District 19,Alderman Ward 19,Matthew O'Shea,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/19.html,ward19@cityofchicago.org,
IL,Chicago City Council District 20,Alderman Ward 20,Willie B. Cochran,"121 N. LaSalle Street Chicago, Illinois 60602",773.955.5610,http://www.cityofchicago.org/city/en/about/wards/20.html,ward20@cityofchicago.org,
IL,Chicago City Council District 21,Alderman Ward 21,Howard Brookins Jr.,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/21.html,ward21@cityofchicago.org,
IL,Chicago City Council District 22,Alderman Ward 22,Ricardo Munoz,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/22.html,ward22@cityofchicago.org,
IL,Chicago City Council District 23,Alderman Ward 23,Michael R. Zalewski,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/23.html,ward23@cityofchicago.org,
IL,Chicago City Council District 24,Alderman Ward 24,Michael Scott Jr.,"121 N. Lasalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/24.html,ward24@cityofchicago.org,
IL,Chicago City Council District 25,Alderman Ward 25,Daniel S. Solis,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/25.html,ward25@cityofchicago.org,
IL,Chicago City Council District 26,Alderman Ward 26,Roberto Maldonado,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/26.html,ward26@cityofchicago.org,
IL,Chicago City Council District 27,Alderman Ward 27,"Walter Burnett, Jr.","121 N. La Salle Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/27.html,ward27@cityofchicago.org,
IL,Chicago City Council District 28,Alderman Ward 28,Jason Ervin,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/content/city/en/about/wards/28.html,ward28@cityofchicago.org,
IL,Chicago City Council District 29,Alderman Ward 29,Christopher Taliaferro,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/29.html,Ward29@cityofchicago.org,
IL,Chicago City Council District 30,Alderman Ward 30,Ariel E. Reboyras,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/30.html,ward30@cityofchicago.org,
IL,Chicago City Council District 31,Alderman Ward 31,Milly Santiago,"121 N. LaSalle St. Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/31.html,ward31@cityofchicago.org,
IL,Chicago City Council District 32,Alderman Ward 32,Scott Waguespack,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/32.html,info@ward32.org,
IL,Chicago City Council District 33,Alderman Ward 33,Deborah Mell,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/33.html,info@33rdward.org,
IL,Chicago City Council District 34,Alderman Ward 34,Carrie M. Austin,"121 N. Lasalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/34.html,ward34@cityofchicago.org,
IL,Chicago City Council District 35,Alderman Ward 35,Carlos Ramirez-Rosa,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/35.html,ward35@cityofchicago.org,
IL,Chicago City Council District 36,Alderman Ward 36,Gilbert Villegas,"121 N. LaSalle Street Chicago, Illinois 60602",773.745.4636,http://www.cityofchicago.org/city/en/about/wards/36.html,war36@cityofchicago.org,
IL,Chicago City Council District 37,Alderman Ward 37,Emma Mitts,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/37.html,ward37@cityofchicago.org,
IL,Chicago City Council District 38,Alderman Ward 38,Nicholas Sposato,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/38.html,info@aldermansposato.com,
IL,Chicago City Council District 39,Alderman Ward 39,Margaret Laurino,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/39.html,ward39@cityofchicago.org,
IL,Chicago City Council District 40,Alderman Ward 40,Patrick J. O'Connor,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/40.html,ward40@cityofchicago.org,
IL,Chicago City Council District 41,Alderman Ward 41,Anthony V. Napolitano,"121 N. La Salle Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/41.html,ward41@cityofchicago.org,
IL,Chicago City Council District 42,Alderman Ward 42,Brendan Reilly,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/42.html,ward42@cityofchicago.org,
IL,Chicago City Council District 43,Alderman Ward 43,Michele Smith,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/43.html,ward43@cityofchicago.org,
IL,Chicago City Council District 44,Alderman Ward 44,Thomas M. Tunney,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/44.html,ward44@cityofchicago.org,
IL,Chicago City Council District 45,Alderman Ward 45,John Arena,"121 N. La Salle Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/45.html,ward45@cityofchicago.org,
IL,Chicago City Council District 46,Alderman Ward 46,James Cappleman,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/46.html,ward46@cityofchicago.org,
IL,Chicago City Council District 47,Alderman Ward 47,Ameya Pawar,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/47.html,ward47@cityofchicago.org,
IL,Chicago City Council District 48,Alderman Ward 48,Harry Osterman,"121 N. La Salle St. Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/48.html,ward48@cityofchicago.org,
IL,Chicago City Council District 49,Alderman Ward 49,Joseph Moore,"121 N. Lasalle St. Room 200Chicago, IL 60601",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/49.html,ward49@cityofchicago.org,
IL,Chicago City Council District 50,Alderman Ward 50,Debra Silverstein,"121 N. La Salle Room 300 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/50.html,ward50@cityofchicago.org,
IL,Chicago,Mayor,Rahm Emanuel,"121 N LaSalle Street Chicago City Hall 4th Floor Chicago, IL 60602 ",,http://www.cityofchicago.org/city/en/depts/mayor.html,,
OH,Columbus,City Council Member At-Large,Zach Klein,"90 West Broad St. Columbus, OH 43215",614 645-5346,http://columbus.gov/council/members/,gdjames@columbus.gov,
OH,Columbus,City Council Member At-Large,Elizabeth C. Brown,"90 West Broad St. Columbus, OH 43215",614 645-7163,http://columbus.gov/council/members/,kaellingsen@columbus.gov,
OH,Columbus,City Council Member At-Large,Shannon G. Hardin ,"90 West Broad St. Columbus, OH 43215",614 645-2728,http://columbus.gov/council/members/,edjohnson@columbus.gov,
OH,Columbus,City Council Member At-Large,Jaiza Page ,"90 West Broad St. Columbus, OH 43215",614 645-8538,http://columbus.gov/council/members/,simartin@columbus.gov,
OH,Columbus,City Council Member At-Large,Michael Stinziano,"90 West Broad St. Columbus, OH 43215",614 645-5829,http://columbus.gov/council/members/,KBMccain@columbus.gov,
OH,Columbus,Mayor,Mayor Andrew J. Ginther,"City Hall 2nd Floor 90 West Broad Street Columbus, OH 43215",614-645-7671,http://www.columbus.gov/Templates/Detail.aspx?id=66058,311@columbus.gov,
TX,Dallas City Council District 1,City Council District 1,Scott Griggs,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",(214)-670-0776,http://dallascityhall.com/government/citycouncil/district1/,scott.griggs@dallascityhall.com,
TX,Dallas City Council District 2,City Council District 2,Adam Medrano,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4048,http://dallascityhall.com/government/citycouncil/district2/,adam.medrano@dallascityhall.com,
TX,Dallas City Council District 3,City Council District 3,"Casey Thomas, II","Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-0777,http://dallascityhall.com/government/citycouncil/district3/,richard.soto@dallascityhall.com,
TX,Dallas City Council District 4,City Council District 4,Carolyn King Arnold,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-0781,http://dallascityhall.com/government/citycouncil/district4/,corey.morgan@dallascityhall.com,
TX,Dallas City Council District 5,City Council District 5,Rickey D. Callahan,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-4052,http://dallascityhall.com/government/citycouncil/district5/,rick.callahan@dallascityhall.com,
TX,Dallas City Council District 6,City Council District 6,Monica R. Alonzo,"Dallas City Hall 1500 Marilla St.Room 5DN Dallas, Texas 75201",214-670-4199,http://dallascityhall.com/government/citycouncil/district6/,,
TX,Dallas City Council District 7,City Council District 7,Tiffinni A. Young,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4689,http://dallascityhall.com/government/citycouncil/district7/,parris.long@dallascityhall.com,
TX,Dallas City Council District 8,City Council District 8,Deputy Mayor Pro Tem Erik Wilson,"Dallas City Hall 1500 Marilla St.Room 5DN Dallas, Texas 75201",(214) 670-4066,http://dallascityhall.com/government/citycouncil/district8/,maria.salazar2@dallascityhall.com,
TX,"Dallas 
City Council District 9","
City Council District 9","
Mark Clayton","Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4069,http://dallascityhall.com/government/citycouncil/district9/,,
TX,Dallas City Council District 10,City Council District 10,B. Adam McGough,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-4068,http://dallascityhall.com/government/citycouncil/district10/,adam.mcgough@dallascityhall.com,
TX,Dallas City Council District 11,City Council District 11,Lee M.Kleinman,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-7817,http://dallascityhall.com/government/citycouncil/district11/,sophia.figueroa@dallascityhall.com,
TX,Dallas City Council District 12,City Council District 12,Sandy Greyson,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-4067,http://dallascityhall.com/government/citycouncil/district12/,sandy.greyson@dallascityhall.com,
TX,Dallas City Council District 13,City Council District 13,Jennifer Staubach Gates,"Dallas City Hall 1500 Marilla St.Room 5FS Dallas, Texas 75201",214-670-3816,http://dallascityhall.com/government/citycouncil/district13/,carolyn.williamson@dallascityhall.com,
TX,Dallas City Council District 14,City Council District 14,Philip T. Kingston,"Dallas City Hall 1500 Marilla St.Room 5FN Dallas, Texas 75201",214-670-5415,http://dallascityhall.com/government/citycouncil/district14/,,
TX,Dallas,Mayor,Mayor Mike Rawlings,"1500 Marilla St. Dallas, TX 75201",214-670-3111,http://dallascityhall.com/government/citymayor/Pages/default.aspx,,
TX,Houston City Council District A,City Council Member District A,Brenda Stardig,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/a,districta@houstontx.gov,
TX,Houston City Council District B,City Council Member District B,Jerry Davis,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/b,districtb@houstontx.gov,
TX,Houston City Council District C ,City Council Member District C ,Mayor Pro Tem Ellen R. Cohen,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/c,districtc@houstontx.gov,
TX,Houston City Council District D,City Council Member District D,Dwight Boykins,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/d,districtd@houstontx.gov,
TX,Houston City Council District E ,City Council Member District E ,Dave Martin---,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/e,districte@houstontx.gov,
TX,Houston City Council District F,City Council Member District F,Steve Le,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/f,districtf@houstontx.gov,
TX,Houston City Council District G ,City Council Member District G ,Greg Travis,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/g,districtg@houstontx.gov,
TX,Houston City Council District H,City Council Member District H,Karla Cisneros,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/h,districth@houstontx.gov,
TX,Houston City Council District I ,City Council Member District I ,Robert Gallegos ,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/i,districti@houstontx.gov,
TX,Houston City Council District J,City Council Member District J,Mike Laster,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/j,districtj@houstontx.gov,
TX,Houston City Council District K ,City Council Member District K ,Larry green,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/k,districtk@houstontx.gov,
TX,Houston,City Council Member At-Large Position 1,Mike Knox,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/1,atlarge1@houstontx.gov,
TX,Houston,City Council Member At-Large Position 2 ,David Robinson,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/2,atlarge2@houstontx.gov,
TX,Houston,City Council Member At-Large Position 3,Michael Kubosh,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/3,atlarge3@houstontx.gov,
TX,Houston,City Council Member At-Large Position 4 ,Amanda Edwards,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/4,atlarge4@houstontx.gov,
TX,Houston,City Council Member At-Large Position 5,Jack Christie,"City Hall Annex 900 Bagby, First Floor Houston, TX 77002",832.393.1100,http://www.houstontx.gov/council/5,atlarge5@houstontx.gov,
TX,Houston,Mayor,Sylvester Turner,"City of Houston P.O. Box 1562 Houston, TX 77251",713.837.0311,http://www.houstontx.gov/mayor/,mayor@houstontx.gov,
IN,Indianapolis City Council District 1,City Councillor District 1,Leroy Robinson,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_01.aspx,leroy.robinson@indy.gov,
IN,Indianapolis City Council District 2,City Councillor District 2,Colleen Fanning,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_02.aspx,fanningINDY@gmail.com,
IN,Indianapolis City Council District 3,City Councillor District 3,Christine Scales,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_03.aspx,cscales_2000@yahoo.com,
IN,Indianapolis City Council District 4,City Councillor District 4,Michael McQuillen,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_04.aspx,mike@mikemcquillen.com,
IN,Indianapolis City Council District 5,City Councillor District 5,Jeff Coats,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_05.aspx,jefferycoats@sbcglobal.net,
IN,Indianapolis City Council District 6,City Councillor District 6,Janice McHenry,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_06.aspx,,
IN,Indianapolis City Council District 7,City Councillor District 7,Joseph Simpson,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_07.aspx,jesimp7754@sbcglobal.net,
IN,Indianapolis City Council District 8,City Councillor District 8,Monroe Gray,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_08.aspx,,
IN,Indianapolis City Council District 9,City Councillor District 9,William Oliver,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_09.aspx,william.oliver@indy.gov,
IN,Indianapolis City Council District 10,City Councillor District 10,Maggie Lewis,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_10.aspx,maggie.lewis@indy.gov,
IN,Indianapolis City Council District 11,City Councillor District 11,Vop Osili,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_11.aspx,voposili@gmail.com,
IN,Indianapolis City Council District 12,City Councillor District 12,Blake Johnson,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_12.aspx,blake.johnson@indy.gov,
IN,Indianapolis City Council District 13,City Councillor District 13,Stephen Clay,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_13.aspx,stephen.clay@indy.gov,
IN,Indianapolis City Council District 14,City Councillor District 14,LaKeisha Jackson,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_14.aspx,lakeisha.jackson@indy.gov,
IN,Indianapolis City Council District 15,City Councillor District 15,Marilyn Pfisterer,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_15.aspx,cpfist1061@aol.com,
IN,Indianapolis City Council District 16,City Councillor District 16,Jeff Miller,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_16.aspx,miller4council@gmail.com,
IN,Indianapolis City Council District 17,City Councillor District 17,Zach Adamson,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_17.aspx,AdamsonforIndy@aol.com,
IN,Indianapolis City Council District 18,City Councillor District 18,Susie Cordi,"City-County Building, 200 E. Washington St., Indianapolis, IN 46204",,http://www.indy.gov/eGov/Council/Councillors/Biography/Pages/district_18.aspx,scordi@comcast.net,
